Match #,Blue HP Accuracy,Red HP Accuracy,Blue Processor Scored,Red Processor Scored,Blue Net Scored,Red Net Scored
1,0.6666666666666667,Not attempted,0,6,4,2
2,1.0,Not attempted,0,2,2,0
3,Not attempted,Not attempted,0,0,0,0
4,Not attempted,Not attempted,0,0,0,0
5,1.0,Not attempted,0,2,2,1
6,1.5,Not attempted,0,2,3,0
7,Not attempted,Not attempted,0,0,0,0
8,Not attempted,1.0,1,0,0,1
9,Not attempted,Not attempted,0,0,0,0
10,1.0,Not attempted,0,3,3,0
11,1.0,Not attempted,0,1,1,1
12,Not attempted,0.0,1,0,0,0
13,0.8,Not attempted,0,5,4,0
14,Not attempted,Not attempted,0,0,0,0
15,Not attempted,Not attempted,0,0,0,0
16,1.0,Not attempted,0,3,3,0
17,Not attempted,Not attempted,0,0,0,0
18,Not attempted,Not attempted,0,0,0,0
19,Not attempted,0.5,2,0,1,1
20,Not attempted,1.0,2,0,0,2
21,Not attempted,Not attempted,0,0,0,0
22,Not attempted,Not attempted,0,0,0,0
23,0.0,Not attempted,0,1,0,0
24,Not attempted,Not attempted,0,0,0,0
25,Not attempted,Not attempted,0,0,0,0
26,Not attempted,Not attempted,0,0,0,0
27,Not attempted,0.5,2,0,0,1
28,Not attempted,Not attempted,0,0,2,0
29,Not attempted,Not attempted,0,0,0,0
30,1.5,Not attempted,0,4,6,0
31,Not attempted,Not attempted,0,0,0,0
32,Not attempted,Not attempted,0,0,0,0
33,Not attempted,Not attempted,0,0,0,1
34,Not attempted,0.8,5,0,0,4
35,Not attempted,Not attempted,0,0,0,0
36,Not attempted,Not attempted,0,0,0,3
37,Not attempted,Not attempted,0,0,0,0
38,Not attempted,Not attempted,0,0,0,0
39,Not attempted,Not attempted,0,0,0,0
40,0.6,1.0,2,5,3,2
41,Not attempted,Not attempted,0,0,0,0
42,Not attempted,Not attempted,0,0,0,0
43,Not attempted,Not attempted,0,0,0,0
44,Not attempted,Not attempted,0,0,0,0
45,Not attempted,Not attempted,0,0,0,0
46,Not attempted,Not attempted,0,0,0,0
47,1.0,1.0,6,5,5,6
48,Not attempted,Not attempted,0,0,0,0
49,Not attempted,Not attempted,0,0,0,0
50,Not attempted,Not attempted,0,0,0,0
51,Not attempted,Not attempted,0,0,0,0
52,0.5,1.25,4,2,1,5
53,1.0,1.0,1,2,2,1
54,Not attempted,Not attempted,0,0,0,0
55,Not attempted,Not attempted,0,0,0,0
56,0.75,Not attempted,0,4,3,0
57,1.0,Not attempted,0,1,1,0
58,Not attempted,1.0,1,0,0,1
